X,Y,Pop,ele,Distance=5000 Number of People=1000,Distance=10000 Number of People=1000,Distance=15000 Number of People=1000,Distance=20000 Number of People=1000,Distance=25000 Number of People=1000,Distance=30000 Number of People=2000,Distance=35000 Number of People=2000,Distance=40000 Number of People=2000,Distance=45000 Number of People=2000,Distance=50000 Number of People=3000
3879658.318,-562190.5322,11064.21668,1,1,1,1,1,1,1,1,1,1,1
3316114.528,-2975420.541,6681.314952,1,1,1,1,1,1,1,1,1,1,1
2168900.384,-3957418.322,30815.50055,1,1,1,1,1,1,1,1,1,1,1
2581494.945,-753157.9452,5998.074657,1,1,1,1,1,1,1,1,1,1,1
4121177.085,-1961894.975,21074.43616,1,1,1,1,1,1,1,1,1,1,1
2108520.692,-3625322.082,214.3467714,0,0,0,0,0,0,0,0,0,0,0
2812950.429,-1106885.742,1595.618409,1,1,1,1,1,1,1,1,1,1,1
3859531.754,1501766.607,1339.886971,1,1,1,1,1,1,1,1,1,1,1
3607949.705,-2942063.361,943.711957,0,0,0,0,0,0,0,0,0,0,0
2309786.332,-2515009.812,35.48539953,0,0,0,0,0,0,0,0,0,0,0
4624341.184,1062910.465,2530.929692,1,1,1,1,1,1,1,1,1,1,1
347446.3475,1460670.863,2820.225462,1,1,1,1,1,1,1,1,1,1,1
3638139.551,-2407318.053,1274.460529,1,1,1,1,1,1,1,1,1,1,1
3155102.017,-1773985.049,2564.386949,1,1,1,1,1,1,1,1,1,1,1
931116.7013,1347966.833,10446.70324,1,1,1,1,1,1,1,1,1,1,1
3406684.066,1440145.999,1533.844021,1,1,1,1,1,1,1,1,1,1,1
820420.5998,558830.9603,217153.8526,1,1,1,1,1,1,1,1,1,1,1
2923646.531,-1188186.238,1523.0903,1,1,1,1,1,1,1,1,1,1,1
-336856.8266,588943.4876,2603.537607,1,1,1,1,1,1,1,1,1,1,1
-588438.8756,769925.4841,8947.97604,1,1,1,1,1,1,1,1,1,1,1
3275861.4,-1546372.769,1530.611498,1,1,1,1,1,1,1,1,1,1,1
2973962.941,-1930463.063,3050.083174,1,1,1,1,1,1,1,1,1,1,1
-1121792.82,1470939.006,1111.992272,1,1,1,1,1,1,1,1,1,1,1
3356367.656,-3416562.319,3391.722442,1,1,1,1,1,1,1,1,1,1,1
488332.2946,1399141.133,5351.94527,1,1,1,1,1,1,1,1,1,1,1
2722380.892,-662624.3128,2714.9689,1,1,1,1,1,1,1,1,1,1,1
3074595.761,-3849641.015,19032.73244,1,1,1,1,1,1,1,1,1,1,1
3698519.243,1307090.611,11.87492146,0,0,0,0,0,0,0,0,0,0,0
-1574640.508,1853808.842,7893.45839,1,1,1,1,1,1,1,1,1,1,1
3718645.807,-2151512.226,6374.100189,1,1,1,1,1,1,1,1,1,1,1
3346304.374,-3497332.122,4078.892974,1,1,1,1,1,1,1,1,1,1,1
3436873.912,-3256530.525,4462.195436,1,1,1,1,1,1,1,1,1,1,1
1927381.617,-502000.3433,1112.097679,1,1,1,1,1,1,1,1,1,1,1
2360102.741,-3837727.739,64.30403143,0,0,0,0,0,0,0,0,0,0,0
2933709.813,-2809390.612,250.2654493,0,0,0,0,0,0,0,0,0,0,0
3185291.862,-1753203.636,1552.891141,1,1,1,1,1,1,1,1,1,1,1
-1252615.485,1584148.595,41267.26875,1,1,1,1,1,1,1,1,1,1,1
2963899.659,-2842447.575,271.0856227,0,0,0,0,0,0,0,0,0,0,0
3457000.476,-2743492.726,1760.165252,1,1,1,1,1,1,1,1,1,1,1
-85274.7773,1042638.328,24046.70491,1,1,1,1,1,1,1,1,1,1,1
4221809.905,830386.5298,66478.85109,1,1,1,1,1,1,1,1,1,1,1
3285924.682,-3087179.307,861.1696758,0,0,0,0,0,0,0,0,0,0,0
3024279.351,-3778343.19,37520.77191,1,1,1,1,1,1,1,1,1,1,1
3859531.754,-985272.545,11770.49114,1,1,1,1,1,1,1,1,1,1,1
4282189.597,971768.7718,43575.08539,1,1,1,1,1,1,1,1,1,1,1
3960164.574,78296.1905,3457.778854,1,1,1,1,1,1,1,1,1,1,1
3024279.351,-3347735.953,179.0425973,0,0,0,0,0,0,0,0,0,0,0
3064532.478,-3031189.273,2896.203141,1,1,1,1,1,1,1,1,1,1,1
3607949.705,-2450312.772,391.8651555,0,0,0,0,0,0,0,0,0,0,0
3698519.243,-1972382.773,2861.694163,1,1,1,1,1,1,1,1,1,1,1
-1806095.994,1780901.463,6972.88399,1,1,1,1,1,1,1,1,1,1,1
2239343.357,-632477.6769,1445.726983,1,1,1,1,1,1,1,1,1,1,1
3185291.862,-1525782.787,2441.84891,1,1,1,1,1,1,1,1,1,1,1
2883393.403,-1127193.229,1590.783202,1,1,1,1,1,1,1,1,1,1,1
55611.1706,1245877.439,5141.492689,1,1,1,1,1,1,1,1,1,1,1
880800.2919,1409386.813,13398.2337,1,1,1,1,1,1,1,1,1,1,1
1031749.521,1317304.51,8509.633803,1,1,1,1,1,1,1,1,1,1,1
-236224.0071,941433.9853,15371.53707,1,1,1,1,1,1,1,1,1,1,1
2672064.482,-743091.329,22565.91248,1,1,1,1,1,1,1,1,1,1,1
3718645.807,-1836443.297,1894.6141,1,1,1,1,1,1,1,1,1,1,1
3316114.528,-1930463.063,3237.144726,1,1,1,1,1,1,1,1,1,1,1
-588438.8756,981885.3116,727.6968466,0,0,0,0,0,0,0,0,0,0,0
3799152.062,-1846869.952,4506.449288,1,1,1,1,1,1,1,1,1,1,1
-236224.0071,850556.8808,657.5510925,0,0,0,0,0,0,0,0,0,0,0
3457000.476,-2590809.817,407.2588657,0,0,0,0,0,0,0,0,0,0,0
3678392.679,-2278964.967,8928.413886,1,1,1,1,1,1,1,1,1,1,1
3155102.017,-1433322.422,11910.69733,1,1,1,1,1,1,1,1,1,1,1
1766369.105,-512028.7131,5865.106456,1,1,1,1,1,1,1,1,1,1,1
3477127.039,-2569116.827,356.8243312,0,0,0,0,0,0,0,0,0,0,0
3366430.938,-2247019.668,2887.129688,1,1,1,1,1,1,1,1,1,1,1
4101050.522,-1982875.869,17639.32464,1,1,1,1,1,1,1,1,1,1,1
2702254.328,-712902.7266,3667.504738,1,1,1,1,1,1,1,1,1,1,1
3285924.682,-3188535.973,563.6059225,0,0,0,0,0,0,0,0,0,0,0
4332506.007,1012250.134,17808.34898,1,1,1,1,1,1,1,1,1,1,1
3537506.732,-11669.0679,97534.66743,1,1,1,1,1,1,1,1,1,1,1
126054.1442,679364.5422,60449.6347,1,1,1,1,1,1,1,1,1,1,1
3145038.734,-2964292.892,27970.99281,1,1,1,1,1,1,1,1,1,1,1
-578375.5933,810224.6548,2533.463096,1,1,1,1,1,1,1,1,1,1,1
4030607.548,-51653.2989,1661.852546,1,1,1,1,1,1,1,1,1,1,1
3698519.243,-2130353.541,6724.621773,1,1,1,1,1,1,1,1,1,1,1
1957571.463,-2776406.014,1.733579649,0,0,0,0,0,0,0,0,0,0,0
1867001.924,-2515009.812,17.33579649,0,0,0,0,0,0,0,0,0,0,0
3919911.446,-652573.7853,70008.89291,1,1,1,1,1,1,1,1,1,1,1
3175228.58,-1742819.919,3959.092622,1,1,1,1,1,1,1,1,1,1,1
3869595.036,-2215129.717,3320.068542,1,1,1,1,1,1,1,1,1,1,1
3165165.299,-1587601.635,3428.837111,1,1,1,1,1,1,1,1,1,1,1
3708582.525,-1784382.805,1889.221461,1,1,1,1,1,1,1,1,1,1,1
2178963.666,-3909392.224,699.7791655,0,0,0,0,0,0,0,0,0,0,0
3607949.705,248289.1003,17561.55675,1,1,1,1,1,1,1,1,1,1,1
3477127.039,-2003878.087,10943.40801,1,1,1,1,1,1,1,1,1,1,1
3819278.626,-1453842.263,37483.28607,1,1,1,1,1,1,1,1,1,1,1
2863266.839,-3957418.322,1594.992152,1,1,1,1,1,1,1,1,1,1,1
4181556.777,-1773985.049,11754.15712,1,1,1,1,1,1,1,1,1,1,1
3688455.961,-2162100.326,3672.387673,1,1,1,1,1,1,1,1,1,1,1
1565103.465,-451877.0589,1156.514301,1,1,1,1,1,1,1,1,1,1,1
2722380.892,-3601951.91,25.21726723,0,0,0,0,0,0,0,0,0,0,0
-759514.6691,1440145.999,6205.709491,1,1,1,1,1,1,1,1,1,1,1
3275861.4,-2964292.892,1888.773315,1,1,1,1,1,1,1,1,1,1,1
3527443.449,-1888626.123,7039.850473,1,1,1,1,1,1,1,1,1,1,1
3195355.144,-2098658.805,2032.855698,1,1,1,1,1,1,1,1,1,1,1
3607949.705,1718594.296,6402.561818,1,1,1,1,1,1,1,1,1,1,1
3527443.449,-2056478.597,9697.591775,1,1,1,1,1,1,1,1,1,1,1
3698519.243,1853808.842,1862.383515,1,1,1,1,1,1,1,1,1,1,1
3899784.882,-1951412.446,4619.694723,1,1,1,1,1,1,1,1,1,1,1
3718645.807,1864243.714,1353.741046,1,1,1,1,1,1,1,1,1,1,1
689597.9342,759855.6608,7854.418536,1,1,1,1,1,1,1,1,1,1,1
3316114.528,-2151512.226,2930.634382,1,1,1,1,1,1,1,1,1,1,1
3024279.351,-2482630.173,153.1475137,0,0,0,0,0,0,0,0,0,0,0
4141303.649,1002125.965,34150.77218,1,1,1,1,1,1,1,1,1,1,1
3165165.299,-1577288.232,2894.12567,1,1,1,1,1,1,1,1,1,1,1
4161430.214,1399141.133,36660.50776,1,1,1,1,1,1,1,1,1,1,1
2742507.456,-3451114.802,115.9994292,0,0,0,0,0,0,0,0,0,0,0
3094722.324,-3861566.538,10117.16761,1,1,1,1,1,1,1,1,1,1,1
4332506.007,1573836.583,15526.45005,1,1,1,1,1,1,1,1,1,1,1
1836812.078,-2493416.423,1.733579649,0,0,0,0,0,0,0,0,0,0,0
3185291.862,-1784382.805,3168.165283,1,1,1,1,1,1,1,1,1,1,1
3356367.656,-2225753.607,3239.122212,1,1,1,1,1,1,1,1,1,1,1
3054469.197,-1857301.531,5425.093154,1,1,1,1,1,1,1,1,1,1,1
-628692.0035,1133950.408,5476.592564,1,1,1,1,1,1,1,1,1,1,1
3668329.397,-291659.0098,469155.1769,1,1,1,1,1,1,1,1,1,1,1
-1373374.869,1656450.883,73931.08637,1,1,1,1,1,1,1,1,1,1,1
-890337.3348,810224.6548,2233.400445,1,1,1,1,1,1,1,1,1,1,1
3607949.705,1687502.526,5017.154315,1,1,1,1,1,1,1,1,1,1,1
3477127.039,-1993374.296,13539.84724,1,1,1,1,1,1,1,1,1,1,1
1937444.898,-2193900.048,221.8981951,0,0,0,0,0,0,0,0,0,0,0
1897191.77,-3393579.237,92.04302538,0,0,0,0,0,0,0,0,0,0,0
3527443.449,-51653.2989,40219.94194,1,1,1,1,1,1,1,1,1,1,1
1464470.646,-632477.6769,5354.992086,1,1,1,1,1,1,1,1,1,1,1
508458.8596,850556.8808,11252.96502,1,1,1,1,1,1,1,1,1,1,1
3165165.299,-1566978.974,2974.332386,1,1,1,1,1,1,1,1,1,1,1
3034342.633,-2975420.541,14825.2314,1,1,1,1,1,1,1,1,1,1,1
3779025.499,-2162100.326,10015.92957,1,1,1,1,1,1,1,1,1,1,1
3104785.607,-3053558.437,36322.95171,1,1,1,1,1,1,1,1,1,1,1
3215481.708,-3648737.243,3621.199574,1,1,1,1,1,1,1,1,1,1,1
-1775906.148,1635771.685,14991.24897,1,1,1,1,1,1,1,1,1,1,1
2651937.918,-823679.417,2487.714157,1,1,1,1,1,1,1,1,1,1,1
3376494.22,2211574.553,223.6443541,0,0,0,0,0,0,0,0,0,0,0
3859531.754,-1867738.066,6260.854755,1,1,1,1,1,1,1,1,1,1,1
2994089.505,-2842447.575,260.9987158,0,0,0,0,0,0,0,0,0,0,0
629218.2429,629114.5628,175687.5032,1,1,1,1,1,1,1,1,1,1,1
-759514.6691,669311.1966,3868.472372,1,1,1,1,1,1,1,1,1,1,1
4443202.108,-1443580.458,2304.454722,1,1,1,1,1,1,1,1,1,1,1
3175228.58,-1556673.829,2847.338419,1,1,1,1,1,1,1,1,1,1,1
-920527.1808,1419636.164,1328.795796,1,1,1,1,1,1,1,1,1,1,1
4352632.571,-562190.5322,922266.2275,1,1,1,1,1,1,1,1,1,1,1
4131240.368,-1867738.066,4831.80522,1,1,1,1,1,1,1,1,1,1,1
3165165.299,-1556673.829,2989.928137,1,1,1,1,1,1,1,1,1,1,1
3376494.22,-3267896.708,6356.012204,1,1,1,1,1,1,1,1,1,1,1
4423075.544,971768.7718,12797.70869,1,1,1,1,1,1,1,1,1,1,1
1544976.902,1093339.224,10786.15582,1,1,1,1,1,1,1,1,1,1,1
4352632.571,-783369.4038,13248.26921,1,1,1,1,1,1,1,1,1,1,1
3416747.347,2382271.846,87.08275734,0,0,0,0,0,0,0,0,0,0,0
3919911.446,-1972382.773,4743.725437,1,1,1,1,1,1,1,1,1,1,1
3396620.784,-3256530.525,756.5180168,0,0,0,0,0,0,0,0,0,0,0
3950101.292,68299.5958,51123.48381,1,1,1,1,1,1,1,1,1,1,1
2712317.61,-3601951.91,25.21726723,0,0,0,0,0,0,0,0,0,0,0
3527443.449,-141627.9028,21892.25878,1,1,1,1,1,1,1,1,1,1,1
1514787.055,840470.632,319.7834747,0,0,0,0,0,0,0,0,0,0,0
2802887.148,-3359181.531,122.303746,0,0,0,0,0,0,0,0,0,0,0
3457000.476,-2776406.014,2448.596648,1,1,1,1,1,1,1,1,1,1,1
3215481.708,-2875577.969,7335.703036,1,1,1,1,1,1,1,1,1,1,1
629218.2429,699476.4415,1098551.064,1,1,1,1,1,1,1,1,1,1,1
830483.8821,1266268.639,22708.00577,1,1,1,1,1,1,1,1,1,1,1
3094722.324,-3199844.508,2132.119944,1,1,1,1,1,1,1,1,1,1,1
3557633.296,288309.1642,33657.90614,1,1,1,1,1,1,1,1,1,1,1
3165165.299,-1546372.769,1568.486891,1,1,1,1,1,1,1,1,1,1,1
4413012.262,1409386.813,10386.87894,1,1,1,1,1,1,1,1,1,1,1
3628076.269,-361725.0646,25374.14686,1,1,1,1,1,1,1,1,1,1,1
4533771.646,1266268.639,3000.732412,1,1,1,1,1,1,1,1,1,1,1
3668329.397,-2300293.033,6841.462302,1,1,1,1,1,1,1,1,1,1,1
3376494.22,-2645170.323,785.5178741,0,0,0,0,0,0,0,0,0,0,0
3195355.144,-2278964.967,2230.604307,1,1,1,1,1,1,1,1,1,1,1
3688455.961,1307090.611,1618.144198,1,1,1,1,1,1,1,1,1,1,1
3416747.347,-3405065.618,6716.619126,1,1,1,1,1,1,1,1,1,1,1
2843140.275,-3336300.461,112.2168392,0,0,0,0,0,0,0,0,0,0,0
3295987.964,-2721589.635,537.1277919,0,0,0,0,0,0,0,0,0,0,0
3889721.601,-1919996.147,5428.590686,1,1,1,1,1,1,1,1,1,1,1
2973962.941,-2300293.033,343.6480796,0,0,0,0,0,0,0,0,0,0,0
3165165.299,-1536075.765,1252.115956,1,1,1,1,1,1,1,1,1,1,1
2863266.839,-3933379.997,364.3895114,0,0,0,0,0,0,0,0,0,0,0
3124912.171,-2930961.397,69599.65754,1,1,1,1,1,1,1,1,1,1,1
3306051.246,-3313459.545,7142.790942,1,1,1,1,1,1,1,1,1,1,1
3678392.679,-1836443.297,2620.822921,1,1,1,1,1,1,1,1,1,1,1
2722380.892,-894303.8476,1757.597854,1,1,1,1,1,1,1,1,1,1,1
2722380.892,-3613631.397,25.21726723,0,0,0,0,0,0,0,0,0,0,0
-1735653.02,1832953.902,4100.633849,1,1,1,1,1,1,1,1,1,1,1
3597886.423,1760113.811,690.724598,0,0,0,0,0,0,0,0,0,0,0
4010480.983,-853933.897,116775.958,1,1,1,1,1,1,1,1,1,1,1
4463328.672,992004.3666,953.7348456,0,0,0,0,0,0,0,0,0,0,0
25421.3246,1266268.639,7428.098,1,1,1,1,1,1,1,1,1,1,1
2621748.072,-1157676.3,3353.216263,1,1,1,1,1,1,1,1,1,1,1
3165165.299,-1525782.787,1492.736104,1,1,1,1,1,1,1,1,1,1,1
3829341.908,-985272.545,1156.130794,1,1,1,1,1,1,1,1,1,1,1
-95338.0587,1103487.732,499.8207681,0,0,0,0,0,0,0,0,0,0,0
1605356.594,-1157676.3,4137.660376,1,1,1,1,1,1,1,1,1,1,1
4523708.364,-1639231.823,10091.42653,1,1,1,1,1,1,1,1,1,1,1
-1474007.689,941433.9853,166383.2979,1,1,1,1,1,1,1,1,1,1,1
3658266.114,-2332332.614,6841.462302,1,1,1,1,1,1,1,1,1,1,1
3014216.069,-3042369.408,960.7778813,0,0,0,0,0,0,0,0,0,0,0
3165165.299,-1515493.808,1423.66921,1,1,1,1,1,1,1,1,1,1,1
2802887.148,-2809390.612,287.6185014,0,0,0,0,0,0,0,0,0,0,0
3889721.601,-1930463.063,4959.431027,1,1,1,1,1,1,1,1,1,1,1
1927381.617,-2612531.922,74.54392491,0,0,0,0,0,0,0,0,0,0,0
2903519.968,-2428801.939,134.4709877,0,0,0,0,0,0,0,0,0,0,0
-1755779.584,1853808.842,46566.5801,1,1,1,1,1,1,1,1,1,1,1
4241936.469,810224.6548,36766.4783,1,1,1,1,1,1,1,1,1,1,1
4040670.829,-51653.2989,25061.86196,1,1,1,1,1,1,1,1,1,1,1
1092129.213,1378660.68,7954.43582,1,1,1,1,1,1,1,1,1,1,1
2178963.666,-2035421.953,15338.71273,1,1,1,1,1,1,1,1,1,1,1
3829341.908,2000361.176,548.2255405,0,0,0,0,0,0,0,0,0,0,0
-1383438.151,1133950.408,3087.842625,1,1,1,1,1,1,1,1,1,1,1
4433138.827,-411799.1734,32925.86738,1,1,1,1,1,1,1,1,1,1,1
-558249.0296,749787.7709,4836.938052,1,1,1,1,1,1,1,1,1,1,1
3688455.961,-2247019.668,2985.724877,1,1,1,1,1,1,1,1,1,1,1
3165165.299,-1505208.796,1539.523355,1,1,1,1,1,1,1,1,1,1,1
3597886.423,-2942063.361,1103.693603,1,1,1,1,1,1,1,1,1,1,1
4040670.829,810224.6548,17158.39634,1,1,1,1,1,1,1,1,1,1,1
3446937.193,-2332332.614,4819.133596,1,1,1,1,1,1,1,1,1,1,1
4151366.931,-371737.9551,137350.1377,1,1,1,1,1,1,1,1,1,1,1
1514787.055,1012250.134,1653.220228,1,1,1,1,1,1,1,1,1,1,1
3487190.322,-1515493.808,810.9790177,0,0,0,0,0,0,0,0,0,0,0
3537506.732,-141627.9028,16102.60769,1,1,1,1,1,1,1,1,1,1,1
3789088.78,-471922.7623,2130.06977,1,1,1,1,1,1,1,1,1,1,1
4060797.393,-1972382.773,8139.290936,1,1,1,1,1,1,1,1,1,1,1
3316114.528,-3222490.113,12203.89647,1,1,1,1,1,1,1,1,1,1,1
-739388.1054,1460670.863,8961.212352,1,1,1,1,1,1,1,1,1,1,1
1152508.905,1144110.438,13292.09291,1,1,1,1,1,1,1,1,1,1,1
2611684.79,-3233827.271,83.21698185,0,0,0,0,0,0,0,0,0,0,0
4483455.237,-1670261.539,18926.36799,1,1,1,1,1,1,1,1,1,1,1
3376494.22,-3451114.802,6194.621694,1,1,1,1,1,1,1,1,1,1,1
2048141.0,-3053558.437,8.667898245,0,0,0,0,0,0,0,0,0,0,0
-1504197.535,1780901.463,16876.72764,1,1,1,1,1,1,1,1,1,1,1
-226160.7248,528731.1861,18647.00185,1,1,1,1,1,1,1,1,1,1,1
4302316.161,820304.5461,329337.0054,1,1,1,1,1,1,1,1,1,1,1
3668329.397,-2886637.938,4384.21612,1,1,1,1,1,1,1,1,1,1,1
1746242.541,-1046030.787,4164.370625,1,1,1,1,1,1,1,1,1,1,1
4161430.214,880828.7565,25265.14253,1,1,1,1,1,1,1,1,1,1,1
-236224.0071,830386.5298,6575.510925,1,1,1,1,1,1,1,1,1,1,1
3295987.964,-2109217.989,3345.906461,1,1,1,1,1,1,1,1,1,1,1
3789088.78,-1382087.754,15455.25633,1,1,1,1,1,1,1,1,1,1,1
3618012.987,88292.981,105995.1933,1,1,1,1,1,1,1,1,1,1,1
2782760.584,-3416562.319,88.26043529,0,0,0,0,0,0,0,0,0,0,0
2963899.659,-3347735.953,47.91280773,0,0,0,0,0,0,0,0,0,0,0
3165165.299,-1494927.725,1552.891141,1,1,1,1,1,1,1,1,1,1,1
4262063.033,-311673.8177,57.9331067,0,0,0,0,0,0,0,0,0,0,0
3195355.144,-2975420.541,22635.01906,1,1,1,1,1,1,1,1,1,1,1
4402948.981,-431835.9307,56431.81162,1,1,1,1,1,1,1,1,1,1,1
880800.2919,1388899.099,13984.04922,1,1,1,1,1,1,1,1,1,1,1
2551305.099,-3199844.508,504.3453445,0,0,0,0,0,0,0,0,0,0,0
3175228.58,-532089.3692,3466.843635,1,1,1,1,1,1,1,1,1,1,1
4090987.239,-131629.6312,277281.0905,1,1,1,1,1,1,1,1,1,1,1
3165165.299,-1484650.565,1459.316639,1,1,1,1,1,1,1,1,1,1,1
4231873.187,800146.8278,79620.96403,1,1,1,1,1,1,1,1,1,1,1
-377109.9541,598983.9502,18997.37965,1,1,1,1,1,1,1,1,1,1,1
2521115.253,-3790196.036,40.34762756,0,0,0,0,0,0,0,0,0,0,0
3779025.499,1460670.863,2363.10937,1,1,1,1,1,1,1,1,1,1,1
3970227.856,138280.783,10891.42406,1,1,1,1,1,1,1,1,1,1,1
-638755.2846,659259.552,3207.256472,1,1,1,1,1,1,1,1,1,1,1
4272126.315,1002125.965,31579.22044,1,1,1,1,1,1,1,1,1,1,1
-749451.3869,689419.6163,4062.524865,1,1,1,1,1,1,1,1,1,1,1
4654531.03,1062910.465,6467.735194,1,1,1,1,1,1,1,1,1,1,1
2692191.046,-3543720.666,25.21726723,0,0,0,0,0,0,0,0,0,0,0
3084659.043,-3825826.658,1310.037032,1,1,1,1,1,1,1,1,1,1,1
-578375.5933,689419.6163,8561.667837,1,1,1,1,1,1,1,1,1,1,1
1836812.078,-2056478.597,3283.399855,1,1,1,1,1,1,1,1,1,1,1
3165165.299,-1474377.287,2388.377766,1,1,1,1,1,1,1,1,1,1,1
820420.5998,1164439.371,643015.2002,1,1,1,1,1,1,1,1,1,1,1
3064532.478,-2515009.812,209.1770919,0,0,0,0,0,0,0,0,0,0,0
3748835.653,-2151512.226,7954.143637,1,1,1,1,1,1,1,1,1,1,1
2853203.558,-1046030.787,6077.855578,1,1,1,1,1,1,1,1,1,1,1
3819278.626,-1846869.952,6776.750624,1,1,1,1,1,1,1,1,1,1,1
3074595.761,-2162100.326,255.0957053,0,0,0,0,0,0,0,0,0,0,0
2802887.148,-1086589.651,1503.749471,1,1,1,1,1,1,1,1,1,1,1
1806622.233,-2385860.834,6.934318596,0,0,0,0,0,0,0,0,0,0,0
-45021.6489,1307090.611,13517.47619,1,1,1,1,1,1,1,1,1,1,1
3155102.017,-2886637.938,577.4754195,0,0,0,0,0,0,0,0,0,0,0
3134975.453,-3042369.408,4288.196292,1,1,1,1,1,1,1,1,1,1,1
1987761.309,-2547452.66,1.733579649,0,0,0,0,0,0,0,0,0,0,0
3145038.734,-1773985.049,3101.326353,1,1,1,1,1,1,1,1,1,1,1
3698519.243,48306.9014,1070618.643,1,1,1,1,1,1,1,1,1,1,1
-1816159.275,1656450.883,21390.58615,1,1,1,1,1,1,1,1,1,1,1
860673.7281,1979362.545,605.8614094,0,0,0,0,0,0,0,0,0,0,0
2048141.0,-3861566.538,1120.907528,1,1,1,1,1,1,1,1,1,1,1
3295987.964,-3132134.219,1383.167107,1,1,1,1,1,1,1,1,1,1,1
3165165.299,-1464107.863,942745.2844,1,1,1,1,1,1,1,1,1,1,1
3004152.787,-2077557.461,187.8611783,0,0,0,0,0,0,0,0,0,0,0
3648202.833,48306.9014,46706.62423,1,1,1,1,1,1,1,1,1,1,1
3527443.449,1947904.422,562.0796155,0,0,0,0,0,0,0,0,0,0,0
-4768.5214,1286672.955,14121.69704,1,1,1,1,1,1,1,1,1,1,1
3336241.092,-3154666.912,1162.516019,1,1,1,1,1,1,1,1,1,1,1
3054469.197,-3199844.508,179.0425973,0,0,0,0,0,0,0,0,0,0,0
4211746.623,-91639.6157,5455.643419,1,1,1,1,1,1,1,1,1,1,1
-1665210.046,1843378.915,5272.5661,1,1,1,1,1,1,1,1,1,1,1
3175228.58,-1566978.974,2916.405314,1,1,1,1,1,1,1,1,1,1,1
-1373374.869,971768.7718,9608.21937,1,1,1,1,1,1,1,1,1,1,1
3587823.141,-2450312.772,266.0368945,0,0,0,0,0,0,0,0,0,0,0
4282189.597,-572227.0699,98613.00828,1,1,1,1,1,1,1,1,1,1,1
3165165.299,-2278964.967,850.3190178,0,0,0,0,0,0,0,0,0,0,0
-558249.0296,850556.8808,704423.125,1,1,1,1,1,1,1,1,1,1,1
4050734.112,-61649.6198,3087.006971,1,1,1,1,1,1,1,1,1,1,1
2923646.531,-3302054.03,49.17367109,0,0,0,0,0,0,0,0,0,0,0
2339976.177,-662624.3128,3551.459763,1,1,1,1,1,1,1,1,1,1,1
3678392.679,1307090.611,1366.432878,1,1,1,1,1,1,1,1,1,1,1
3165165.299,-1453842.263,1639.78175,1,1,1,1,1,1,1,1,1,1,1
3366430.938,-3075963.344,1427.297325,1,1,1,1,1,1,1,1,1,1,1
3356367.656,-2798387.757,3930.111097,1,1,1,1,1,1,1,1,1,1,1
4131240.368,-131629.6312,5876.072251,1,1,1,1,1,1,1,1,1,1,1
2138710.538,-3933379.997,600.17096,0,0,0,0,0,0,0,0,0,0,0
3879658.318,-1899077.708,5734.173605,1,1,1,1,1,1,1,1,1,1,1
-1554513.944,1832953.902,31221.28135,1,1,1,1,1,1,1,1,1,1,1
3809215.345,1358194.574,13.85407503,0,0,0,0,0,0,0,0,0,0,0
1887128.488,-2569116.827,1.733579649,0,0,0,0,0,0,0,0,0,0,0
3698519.243,-1961894.975,4957.633481,1,1,1,1,1,1,1,1,1,1,1
790230.7538,689419.6163,399418.0025,1,1,1,1,1,1,1,1,1,1,1
4392885.698,-1690970.012,12153.21246,1,1,1,1,1,1,1,1,1,1,1
2299723.049,-3861566.538,40.34762756,0,0,0,0,0,0,0,0,0,0,0
1565103.465,-1659913.931,963.9971651,0,0,0,0,0,0,0,0,0,0,0
-185907.5969,1368425.848,23369.19613,1,1,1,1,1,1,1,1,1,1,1
-105401.341,669311.1966,16713.26905,1,1,1,1,1,1,1,1,1,1,1
4664594.312,1093339.224,1559.53309,1,1,1,1,1,1,1,1,1,1,1
3658266.114,1388899.099,1575.406246,1,1,1,1,1,1,1,1,1,1,1
3879658.318,-1909534.372,5137.388139,1,1,1,1,1,1,1,1,1,1,1
1615419.875,-471922.7623,3263.683356,1,1,1,1,1,1,1,1,1,1,1
3386557.501,-3064756.401,1162.516019,1,1,1,1,1,1,1,1,1,1,1
3356367.656,-3233827.271,3618.677847,1,1,1,1,1,1,1,1,1,1,1
3074595.761,-1836443.297,8138.753713,1,1,1,1,1,1,1,1,1,1,1
2078330.846,-552155.42,9996.791095,1,1,1,1,1,1,1,1,1,1,1
1675799.567,-2300293.033,110.9490975,0,0,0,0,0,0,0,0,0,0,0
1736179.259,-461899.3264,5243.782318,1,1,1,1,1,1,1,1,1,1,1
3336241.092,-2045947.513,8273.801792,1,1,1,1,1,1,1,1,1,1,1
1957571.463,-2162100.326,45.07307087,0,0,0,0,0,0,0,0,0,0,0
3698519.243,-2140929.975,5813.265655,1,1,1,1,1,1,1,1,1,1,1
4312379.443,870735.9152,100486.563,1,1,1,1,1,1,1,1,1,1,1
3688455.961,1656450.883,101512.7661,1,1,1,1,1,1,1,1,1,1,1
3919911.446,18318.7092,50906.64847,1,1,1,1,1,1,1,1,1,1,1
4171493.495,1002125.965,22815.45692,1,1,1,1,1,1,1,1,1,1,1
1836812.078,-2612531.922,8.667898245,0,0,0,0,0,0,0,0,0,0,0
870737.0096,1245877.439,46387.60801,1,1,1,1,1,1,1,1,1,1,1
2692191.046,-3566980.125,25.21726723,0,0,0,0,0,0,0,0,0,0,0
